,Variable Name,description
1296,NOPELL_UNKN_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1297,NOPELL_UNKN_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1298,NOPELL_UNKN_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1299,LOAN_DEATH_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1300,LOAN_COMP_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1301,LOAN_COMP_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1302,LOAN_COMP_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1303,LOAN_WDRAW_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1304,LOAN_WDRAW_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1305,LOAN_WDRAW_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1306,LOAN_ENRL_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1307,LOAN_ENRL_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1308,LOAN_ENRL_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1309,LOAN_UNKN_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1310,LOAN_UNKN_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1311,LOAN_UNKN_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1312,NOLOAN_DEATH_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1313,NOLOAN_COMP_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1314,NOLOAN_COMP_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1315,NOLOAN_COMP_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1316,NOLOAN_WDRAW_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1317,NOLOAN_WDRAW_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1318,NOLOAN_WDRAW_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1319,NOLOAN_ENRL_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1320,NOLOAN_ENRL_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1321,NOLOAN_ENRL_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1322,NOLOAN_UNKN_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1323,NOLOAN_UNKN_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1324,NOLOAN_UNKN_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1325,FIRSTGEN_DEATH_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1326,FIRSTGEN_COMP_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1327,FIRSTGEN_COMP_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1328,FIRSTGEN_COMP_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1329,FIRSTGEN_WDRAW_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1330,FIRSTGEN_WDRAW_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1331,FIRSTGEN_WDRAW_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1332,FIRSTGEN_ENRL_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1333,FIRSTGEN_ENRL_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1334,FIRSTGEN_ENRL_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1335,FIRSTGEN_UNKN_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1336,FIRSTGEN_UNKN_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1337,FIRSTGEN_UNKN_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1338,NOT1STGEN_DEATH_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1339,NOT1STGEN_COMP_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1340,NOT1STGEN_COMP_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1341,NOT1STGEN_COMP_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1342,NOT1STGEN_WDRAW_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1343,NOT1STGEN_WDRAW_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1344,NOT1STGEN_WDRAW_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1345,NOT1STGEN_ENRL_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1346,NOT1STGEN_ENRL_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1347,NOT1STGEN_ENRL_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1348,NOT1STGEN_UNKN_ORIG_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1349,NOT1STGEN_UNKN_4YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1350,NOT1STGEN_UNKN_2YR_TRANS_YR8_RT,NSLDS AY2010-11 cohort measured in AY2018-19
1351,RPY_1YR_RT,
1352,COMPL_RPY_1YR_RT,
1353,NONCOM_RPY_1YR_RT,
1354,LO_INC_RPY_1YR_RT,
1355,MD_INC_RPY_1YR_RT,
1356,HI_INC_RPY_1YR_RT,
1357,DEP_RPY_1YR_RT,
1358,IND_RPY_1YR_RT,
1359,PELL_RPY_1YR_RT,
1360,NOPELL_RPY_1YR_RT,
1361,FEMALE_RPY_1YR_RT,
1362,MALE_RPY_1YR_RT,
1363,FIRSTGEN_RPY_1YR_RT,
1364,NOTFIRSTGEN_RPY_1YR_RT,
1365,RPY_3YR_RT,
1366,COMPL_RPY_3YR_RT,
1367,NONCOM_RPY_3YR_RT,
1368,LO_INC_RPY_3YR_RT,
1369,MD_INC_RPY_3YR_RT,
1370,HI_INC_RPY_3YR_RT,
1371,DEP_RPY_3YR_RT,
1372,IND_RPY_3YR_RT,
1373,PELL_RPY_3YR_RT,
1374,NOPELL_RPY_3YR_RT,
1375,FEMALE_RPY_3YR_RT,
1376,MALE_RPY_3YR_RT,
1377,FIRSTGEN_RPY_3YR_RT,
1378,NOTFIRSTGEN_RPY_3YR_RT,
1379,RPY_5YR_RT,
1380,COMPL_RPY_5YR_RT,
1381,NONCOM_RPY_5YR_RT,
1382,LO_INC_RPY_5YR_RT,
1383,MD_INC_RPY_5YR_RT,
1384,HI_INC_RPY_5YR_RT,
1385,DEP_RPY_5YR_RT,
1386,IND_RPY_5YR_RT,
1387,PELL_RPY_5YR_RT,
1388,NOPELL_RPY_5YR_RT,
1389,FEMALE_RPY_5YR_RT,
1390,MALE_RPY_5YR_RT,
1391,FIRSTGEN_RPY_5YR_RT,
1392,NOTFIRSTGEN_RPY_5YR_RT,
1393,RPY_7YR_RT,
1394,COMPL_RPY_7YR_RT,
1395,NONCOM_RPY_7YR_RT,
1396,LO_INC_RPY_7YR_RT,
1397,MD_INC_RPY_7YR_RT,
1398,HI_INC_RPY_7YR_RT,
1399,DEP_RPY_7YR_RT,
1400,IND_RPY_7YR_RT,
1401,PELL_RPY_7YR_RT,
1402,NOPELL_RPY_7YR_RT,
1403,FEMALE_RPY_7YR_RT,
1404,MALE_RPY_7YR_RT,
1405,FIRSTGEN_RPY_7YR_RT,
1406,NOTFIRSTGEN_RPY_7YR_RT,
1407,INC_PCT_LO,
1408,DEP_STAT_PCT_IND,
1409,DEP_INC_PCT_LO,
1410,IND_INC_PCT_LO,
1411,PAR_ED_PCT_1STGEN,
1412,INC_PCT_M1,
1413,INC_PCT_M2,
1414,INC_PCT_H1,
1415,INC_PCT_H2,
1416,DEP_INC_PCT_M1,
1417,DEP_INC_PCT_M2,
1418,DEP_INC_PCT_H1,
1419,DEP_INC_PCT_H2,
1420,IND_INC_PCT_M1,
1421,IND_INC_PCT_M2,
1422,IND_INC_PCT_H1,
1423,IND_INC_PCT_H2,
1424,PAR_ED_PCT_MS,
1425,PAR_ED_PCT_HS,
1426,PAR_ED_PCT_PS,
1427,APPL_SCH_PCT_GE2,
1428,APPL_SCH_PCT_GE3,
1429,APPL_SCH_PCT_GE4,
1430,APPL_SCH_PCT_GE5,
1431,DEP_INC_AVG,
1432,IND_INC_AVG,
1433,OVERALL_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1434,LO_INC_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1435,MD_INC_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1436,HI_INC_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1437,DEP_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1438,IND_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1439,FEMALE_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1440,MALE_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1441,PELL_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1442,NOPELL_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1443,LOAN_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1444,NOLOAN_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1445,FIRSTGEN_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1446,NOT1STGEN_YR2_N,NSLDS AY2016-17 cohort measured in AY2018-19
1447,OVERALL_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1448,LO_INC_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1449,MD_INC_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1450,HI_INC_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1451,DEP_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1452,IND_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1453,FEMALE_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1454,MALE_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1455,PELL_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1456,NOPELL_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1457,LOAN_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1458,NOLOAN_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1459,FIRSTGEN_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1460,NOT1STGEN_YR3_N,NSLDS AY2015-16 cohort measured in AY2018-19
1461,OVERALL_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1462,LO_INC_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1463,MD_INC_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1464,HI_INC_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1465,DEP_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1466,IND_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1467,FEMALE_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1468,MALE_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1469,PELL_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1470,NOPELL_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1471,LOAN_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1472,NOLOAN_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1473,FIRSTGEN_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1474,NOT1STGEN_YR4_N,NSLDS AY2014-15 cohort measured in AY2018-19
1475,OVERALL_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1476,LO_INC_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1477,MD_INC_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1478,HI_INC_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1479,DEP_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1480,IND_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1481,FEMALE_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1482,MALE_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1483,PELL_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1484,NOPELL_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1485,LOAN_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1486,NOLOAN_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1487,FIRSTGEN_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1488,NOT1STGEN_YR6_N,NSLDS AY2012-13 cohort measured in AY2018-19
1489,OVERALL_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1490,LO_INC_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1491,MD_INC_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1492,HI_INC_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1493,DEP_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1494,IND_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1495,FEMALE_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1496,MALE_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1497,PELL_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1498,NOPELL_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1499,LOAN_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1500,NOLOAN_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1501,FIRSTGEN_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1502,NOT1STGEN_YR8_N,NSLDS AY2010-11 cohort measured in AY2018-19
1503,DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1504,GRAD_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1505,WDRAW_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1506,LO_INC_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1507,MD_INC_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1508,HI_INC_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1509,DEP_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1510,IND_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1511,PELL_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1512,NOPELL_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1513,FEMALE_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1514,MALE_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1515,FIRSTGEN_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1516,NOTFIRSTGEN_DEBT_MDN,"NSLDS FY2018, FY2019 pooled cohorts"
1517,DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1518,GRAD_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1519,WDRAW_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1520,LO_INC_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1521,MD_INC_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1522,HI_INC_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1523,DEP_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1524,IND_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1525,PELL_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1526,NOPELL_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1527,FEMALE_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1528,MALE_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1529,FIRSTGEN_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1530,NOTFIRSTGEN_DEBT_N,"NSLDS FY2018, FY2019 pooled cohorts"
1531,GRAD_DEBT_MDN10YR,
1532,CUML_DEBT_N,
1533,CUML_DEBT_P90,
1534,CUML_DEBT_P75,
1535,CUML_DEBT_P25,
1536,CUML_DEBT_P10,
1537,INC_N,
1538,DEP_INC_N,
1539,IND_INC_N,
1540,DEP_STAT_N,
1541,PAR_ED_N,
1542,APPL_SCH_N,
1543,REPAY_DT_MDN,
1544,SEPAR_DT_MDN,
1545,REPAY_DT_N,
1546,SEPAR_DT_N,
1547,RPY_1YR_N,
1548,COMPL_RPY_1YR_N,
1549,NONCOM_RPY_1YR_N,
1550,LO_INC_RPY_1YR_N,
1551,MD_INC_RPY_1YR_N,
1552,HI_INC_RPY_1YR_N,
1553,DEP_RPY_1YR_N,
1554,IND_RPY_1YR_N,
1555,PELL_RPY_1YR_N,
1556,NOPELL_RPY_1YR_N,
1557,FEMALE_RPY_1YR_N,
1558,MALE_RPY_1YR_N,
1559,FIRSTGEN_RPY_1YR_N,
1560,NOTFIRSTGEN_RPY_1YR_N,
1561,RPY_3YR_N,
1562,COMPL_RPY_3YR_N,
1563,NONCOM_RPY_3YR_N,
1564,LO_INC_RPY_3YR_N,
1565,MD_INC_RPY_3YR_N,
1566,HI_INC_RPY_3YR_N,
1567,DEP_RPY_3YR_N,
1568,IND_RPY_3YR_N,
1569,PELL_RPY_3YR_N,
1570,NOPELL_RPY_3YR_N,
1571,FEMALE_RPY_3YR_N,
1572,MALE_RPY_3YR_N,
1573,FIRSTGEN_RPY_3YR_N,
1574,NOTFIRSTGEN_RPY_3YR_N,
1575,RPY_5YR_N,
1576,COMPL_RPY_5YR_N,
1577,NONCOM_RPY_5YR_N,
1578,LO_INC_RPY_5YR_N,
1579,MD_INC_RPY_5YR_N,
1580,HI_INC_RPY_5YR_N,
1581,DEP_RPY_5YR_N,
1582,IND_RPY_5YR_N,
1583,PELL_RPY_5YR_N,
1584,NOPELL_RPY_5YR_N,
1585,FEMALE_RPY_5YR_N,
1586,MALE_RPY_5YR_N,
1587,FIRSTGEN_RPY_5YR_N,
1588,NOTFIRSTGEN_RPY_5YR_N,
1589,RPY_7YR_N,
1590,COMPL_RPY_7YR_N,
1591,NONCOM_RPY_7YR_N,
1592,LO_INC_RPY_7YR_N,
1593,MD_INC_RPY_7YR_N,
1594,HI_INC_RPY_7YR_N,
1595,DEP_RPY_7YR_N,
1596,IND_RPY_7YR_N,
1597,PELL_RPY_7YR_N,
1598,NOPELL_RPY_7YR_N,
1599,FEMALE_RPY_7YR_N,
1600,MALE_RPY_7YR_N,
1601,FIRSTGEN_RPY_7YR_N,
1602,NOTFIRSTGEN_RPY_7YR_N,
1603,COUNT_ED,
1604,LOAN_EVER,
1605,PELL_EVER,
1606,AGE_ENTRY,
1607,AGE_ENTRY_SQ,
1608,AGEGE24,
1609,FEMALE,
1610,MARRIED,
1611,DEPENDENT,
1612,VETERAN,
1613,FIRST_GEN,
1614,FAMINC,
1615,MD_FAMINC,
1616,FAMINC_IND,
1617,LNFAMINC,
1618,LNFAMINC_IND,
1619,PCT_WHITE,
1620,PCT_BLACK,
1621,PCT_ASIAN,
1622,PCT_HISPANIC,
1623,PCT_BA,
1624,PCT_GRAD_PROF,
1625,PCT_BORN_US,
1626,MEDIAN_HH_INC,
1627,POVERTY_RATE,
1628,UNEMP_RATE,
1629,LN_MEDIAN_HH_INC,
1630,FSEND_COUNT,
1631,FSEND_1,
1632,FSEND_2,
1633,FSEND_3,
1634,FSEND_4,
1635,FSEND_5,
1636,COUNT_NWNE_P10,
1637,COUNT_WNE_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019"
1638,MN_EARN_WNE_P10,
1639,MD_EARN_WNE_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1640,PCT10_EARN_WNE_P10,
1641,PCT25_EARN_WNE_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1642,PCT75_EARN_WNE_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1643,PCT90_EARN_WNE_P10,
1644,SD_EARN_WNE_P10,
1645,COUNT_WNE_INC1_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019"
1646,COUNT_WNE_INC2_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019"
1647,COUNT_WNE_INC3_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019"
1648,COUNT_WNE_INDEP0_INC1_P10,
1649,COUNT_WNE_INDEP0_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019"
1650,COUNT_WNE_INDEP1_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019"
1651,COUNT_WNE_MALE0_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019"
1652,COUNT_WNE_MALE1_P10,"Treasury AY2007-08, AY2008-09 pooled cohort measured in CY2018, CY2019"
1653,GT_25K_P10,
1654,MN_EARN_WNE_INC1_P10,
1655,MN_EARN_WNE_INC2_P10,
1656,MN_EARN_WNE_INC3_P10,
1657,MN_EARN_WNE_INDEP0_INC1_P10,
1658,MN_EARN_WNE_INDEP0_P10,
1659,MN_EARN_WNE_INDEP1_P10,
1660,MN_EARN_WNE_MALE0_P10,
1661,MN_EARN_WNE_MALE1_P10,
1662,COUNT_NWNE_P6,
1663,COUNT_WNE_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019"
1664,MN_EARN_WNE_P6,
1665,MD_EARN_WNE_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1666,PCT10_EARN_WNE_P6,
1667,PCT25_EARN_WNE_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1668,PCT75_EARN_WNE_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1669,PCT90_EARN_WNE_P6,
1670,SD_EARN_WNE_P6,
1671,COUNT_WNE_INC1_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019"
1672,COUNT_WNE_INC2_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019"
1673,COUNT_WNE_INC3_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019"
1674,COUNT_WNE_INDEP0_INC1_P6,
1675,COUNT_WNE_INDEP0_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019"
1676,COUNT_WNE_INDEP1_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019"
1677,COUNT_WNE_MALE0_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019"
1678,COUNT_WNE_MALE1_P6,"Treasury AY2011-12, AY2012-13 pooled cohort measured in CY2018, CY2019"
1679,GT_25K_P6,
1680,MN_EARN_WNE_INC1_P6,
1681,MN_EARN_WNE_INC2_P6,
1682,MN_EARN_WNE_INC3_P6,
1683,MN_EARN_WNE_INDEP0_INC1_P6,
1684,MN_EARN_WNE_INDEP0_P6,
1685,MN_EARN_WNE_INDEP1_P6,
1686,MN_EARN_WNE_MALE0_P6,
1687,MN_EARN_WNE_MALE1_P6,
1688,COUNT_NWNE_P7,
1689,COUNT_WNE_P7,
1690,MN_EARN_WNE_P7,
1691,SD_EARN_WNE_P7,
1692,GT_25K_P7,
1693,COUNT_NWNE_P8,
1694,COUNT_WNE_P8,"Treasury AY2009-10, AY2010-11 pooled cohort measured in CY2018, CY2019"
1695,MN_EARN_WNE_P8,
1696,MD_EARN_WNE_P8,"Treasury AY2009-10, AY2010-11 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1697,PCT10_EARN_WNE_P8,
1698,PCT25_EARN_WNE_P8,"Treasury AY2009-10, AY2010-11 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1699,PCT75_EARN_WNE_P8,"Treasury AY2009-10, AY2010-11 pooled cohort measured in CY2018, CY2019, inflation adjusted to 2020 dollars"
1700,PCT90_EARN_WNE_P8,
1701,SD_EARN_WNE_P8,
1702,GT_25K_P8,
1703,COUNT_NWNE_P9,
1704,COUNT_WNE_P9,
1705,MN_EARN_WNE_P9,
1706,SD_EARN_WNE_P9,
1707,GT_25K_P9,
1708,DEBT_MDN_SUPP,"NSLDS FY2018, FY2019 pooled cohorts"
1709,GRAD_DEBT_MDN_SUPP,"NSLDS FY2018, FY2019 pooled cohorts"
1710,GRAD_DEBT_MDN10YR_SUPP,
1711,RPY_3YR_RT_SUPP,
1712,LO_INC_RPY_3YR_RT_SUPP,
1713,MD_INC_RPY_3YR_RT_SUPP,
1714,HI_INC_RPY_3YR_RT_SUPP,
1715,COMPL_RPY_3YR_RT_SUPP,
1716,NONCOM_RPY_3YR_RT_SUPP,
1717,DEP_RPY_3YR_RT_SUPP,
1718,IND_RPY_3YR_RT_SUPP,
1719,PELL_RPY_3YR_RT_SUPP,
1720,NOPELL_RPY_3YR_RT_SUPP,
1721,FEMALE_RPY_3YR_RT_SUPP,
1722,MALE_RPY_3YR_RT_SUPP,
1723,FIRSTGEN_RPY_3YR_RT_SUPP,
1724,NOTFIRSTGEN_RPY_3YR_RT_SUPP,
1725,C150_L4_POOLED_SUPP,
1726,C150_4_POOLED_SUPP,
1727,C200_L4_POOLED_SUPP,
1728,C200_4_POOLED_SUPP,
1729,ALIAS,"AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included."
1730,C100_4,"Fall 2012 or AcadYr 2012-13 cohort (differs by institutional calendar), reported in IPEDS DCY2018-19"
1731,D100_4,"Fall 2012 or AcadYr 2012-13 cohort (differs by institutional calendar), reported in IPEDS DCY2018-19"
1732,C100_L4,"Fall 2015 or AcadYr 2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2018-19"
1733,D100_L4,"Fall 2015 or AcadYr 2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2018-19"
1734,TRANS_4,"Fall 2012 or AcadYr 2012-13 cohort (differs by institutional calendar), reported in IPEDS DCY2018-19"
1735,DTRANS_4,"Fall 2012 or AcadYr 2012-13 cohort (differs by institutional calendar), reported in IPEDS DCY2018-19"
1736,TRANS_L4,"Fall 2015 or AcadYr 2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2018-19"
1737,DTRANS_L4,"Fall 2015 or AcadYr 2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2018-19"
